Category	Country	Customer ID	Order Date	Order ID	Payment Method	Product ID	Return Status	Review Rating	Shipping Method	Discount	Price	Profit	Quantity	Returned Quantity	Shipping Cost	
Books	UK	9117	1/3/2023 0:00	ORDER00017	Cash	601	Yes	1	Next Day	25.00%	$70.50 	$16 	3	2	$25.80 	
Books	UK	1804	4/19/2023 0:00	ORDER00018	Cash	397	Yes	3	Next Day	19.00%	$125.30 	$72 	7	3	$30.30 	
Books	France	8578	5/8/2023 0:00	ORDER00019	Bank Transfer	315	Yes	5	Standard	34.00%	$314.10 	$430 	10	0	$6.50 	
Books	UK	9872	12/21/2023 0:00	ORDER00020	PayPal	706	No	5	Next Day	26.00%	$73.80 	$56 	5	3	$7.60 	
Home	USA	7970	11/15/2023 0:00	ORDER00021	Bank Transfer	487	Yes	1	Next Day	13.00%	$818.10 	$434 	3	4	$15.90 	
Clothing	USA	2503	11/12/2023 0:00	ORDER00022	Cash	552	Yes	4	Next Day	6.00%	$467.70 	$50 	1	1	$3.30 	
Home	USA	3065	11/4/2023 0:00	ORDER00023	Bank Transfer	88	Yes	2	Standard	33.00%	$20.00 	$14 	6	0	$34.30 	
Home	Canada	5551	9/6/2023 0:00	ORDER00024	Bank Transfer	175	No	5	Express	37.00%	$765.80 	$284 	5	3	$24.20 	
Clothing	Germany	8431	2/24/2023 0:00	ORDER00025	Cash	601	No	4	Next Day	24.00%	$421.40 	$59 	1	3	$44.90 	
Books	France	9566	5/15/2023 0:00	ORDER00026	Credit Card	850	Yes	1	Next Day	26.00%	$445.10 	$240 	3	3	$16.70 	
Clothing	France	6045	1/2/2023 0:00	ORDER00027	Bank Transfer	678	No	4	Express	19.00%	$860.10 	$594 	4	4	$10.10 	
Sports	Germany	4711	12/25/2023 0:00	ORDER00028	Credit Card	538	Yes	3	Express	39.00%	$458.70 	$79 	1	2	$47.80 	
Home	UK	5970	6/18/2023 0:00	ORDER00029	Bank Transfer	846	No	1	Next Day	24.00%	$802.40 	"$1,085 "	7	3	$34.10 	
Home	Canada	1502	7/17/2023 0:00	ORDER00030	PayPal	73	No	4	Next Day	30.00%	$407.50 	$719 	9	5	$11.10 	
Clothing	UK	1409	7/16/2023 0:00	ORDER00031	Credit Card	778	No	5	Express	28.00%	$88.50 	$155 	10	2	$3.00 	
Home	France	2737	4/1/2023 0:00	ORDER00032	PayPal	917	No	3	Express	24.00%	$355.40 	$440 	7	2	$4.90 	
Clothing	UK	4026	3/5/2023 0:00	ORDER00033	Credit Card	116	Yes	5	Next Day	14.00%	$74.70 	$112 	6	3	$34.40 	
Electronics	Canada	4732	2/17/2023 0:00	ORDER00034	Bank Transfer	977	No	5	Next Day	17.00%	$215.50 	$252 	10	2	$10.50 	
Clothing	France	1783	10/23/2023 0:00	ORDER00035	Bank Transfer	756	No	2	Express	23.00%	$762.60 	"$1,109 "	8	4	$9.80 	
Books	Canada	9874	6/4/2023 0:00	ORDER00036	Cash	710	No	4	Express	29.00%	$248.10 	$57 	3	4	$35.60 	
Home	Canada	9870	12/12/2023 0:00	ORDER00037	Cash	848	No	3	Standard	22.00%	$109.10 	$70 	5	4	$8.00 	
Home	Canada	6525	11/2/2023 0:00	ORDER00038	Credit Card	432	No	3	Next Day	33.00%	$345.70 	$68 	1	5	$4.80 	
Electronics	USA	8410	7/18/2023 0:00	ORDER00039	Credit Card	449	No	4	Next Day	38.00%	$577.60 	$345 	4	5	$6.60 	
Electronics	USA	4397	2/9/2023 0:00	ORDER00040	Credit Card	851	Yes	2	Standard	12.00%	$262.60 	$197 	6	2	$30.90 	
Books	UK	8253	10/3/2023 0:00	ORDER00041	PayPal	100	No	5	Next Day	25.00%	$773.50 	$709 	7	0	$7.90 	
Electronics	Germany	6238	5/18/2023 0:00	ORDER00042	PayPal	985	No	1	Standard	21.00%	$992.30 	"$1,877 "	10	5	$31.40 	
Electronics	Germany	9299	2/19/2023 0:00	ORDER00043	Bank Transfer	178	Yes	5	Next Day	27.00%	$652.10 	$892 	7	3	$13.60 	
Sports	Germany	7618	2/14/2023 0:00	ORDER00044	Bank Transfer	756	No	3	Express	23.00%	$686.30 	$543 	8	0	$37.50 	
Home	France	4985	9/14/2023 0:00	ORDER00045	PayPal	798	No	2	Standard	31.00%	$168.90 	$211 	9	4	$28.90 	
Home	UK	1968	6/27/2023 0:00	ORDER00046	PayPal	660	No	2	Express	33.00%	$830.70 	$831 	5	5	$29.80 	
Clothing	France	5881	5/4/2023 0:00	ORDER00047	Credit Card	148	Yes	1	Express	19.00%	$64.80 	$5 	1	1	$41.60 	
Sports	Germany	1661	5/26/2023 0:00	ORDER00048	Cash	911	Yes	3	Express	11.00%	$915.00 	$775 	8	1	$41.90 	
Home	UK	8987	1/3/2023 0:00	ORDER00049	Credit Card	424	Yes	4	Express	33.00%	$333.60 	$216 	5	1	$9.80 	
Clothing	France	8738	7/18/2023 0:00	ORDER00050	Cash	289	Yes	1	Standard	18.00%	$264.60 	$606 	10	2	$24.70 	
Books	Germany	8098	7/18/2023 0:00	ORDER00051	Cash	962	Yes	4	Standard	29.00%	$114.40 	$71 	7	2	$34.70 	
Electronics	USA	6680	12/14/2023 0:00	ORDER00052	Cash	266	Yes	1	Standard	7.00%	$548.10 	"$1,456 "	10	5	$21.40 	
Home	Germany	8897	1/5/2023 0:00	ORDER00053	Credit Card	698	No	5	Standard	39.00%	$63.20 	$8 	1	5	$43.20 	
Books	UK	6196	6/19/2023 0:00	ORDER00054	Bank Transfer	640	Yes	4	Express	15.00%	$494.60 	$64 	1	2	$4.80 	
Home	Germany	4633	4/15/2023 0:00	ORDER00055	Cash	545	No	4	Standard	28.00%	$815.80 	$313 	2	0	$26.10 	
Sports	USA	1687	12/8/2023 0:00	ORDER00056	Bank Transfer	544	No	1	Express	24.00%	$760.50 	$686 	7	0	$39.80 	
Clothing	Canada	3165	6/20/2023 0:00	ORDER00057	Bank Transfer	715	No	4	Next Day	13.00%	$108.30 	$150 	7	0	$47.80 	
Electronics	France	7694	9/11/2023 0:00	ORDER00058	PayPal	245	No	1	Next Day	35.00%	$488.40 	$177 	3	5	$16.30 	
Books	Canada	5479	3/18/2023 0:00	ORDER00059	PayPal	152	Yes	3	Express	20.00%	$875.80 	$372 	2	4	$45.80 	
Electronics	France	6326	11/1/2023 0:00	ORDER00060	Cash	676	Yes	3	Standard	14.00%	$701.10 	$398 	5	4	$12.50 	
Clothing	Germany	3225	9/13/2023 0:00	ORDER00061	Cash	511	No	1	Standard	9.00%	$68.50 	$90 	5	2	$6.20 	
Electronics	UK	9271	8/26/2023 0:00	ORDER00062	Bank Transfer	460	Yes	1	Standard	36.00%	$201.00 	$39 	2	4	$44.40 	
Electronics	Canada	2439	9/28/2023 0:00	ORDER00063	Credit Card	883	Yes	1	Standard	34.00%	$925.30 	$287 	4	1	$4.70 	
Electronics	USA	3961	2/22/2023 0:00	ORDER00064	Credit Card	184	Yes	5	Express	39.00%	$667.60 	$515 	6	5	$49.60 	
Home	Germany	7671	9/21/2023 0:00	ORDER00065	Cash	29	No	5	Next Day	14.00%	$782.50 	$522 	3	2	$27.00 	
Clothing	USA	8015	10/15/2023 0:00	ORDER00066	Credit Card	803	No	2	Express	40.00%	$554.10 	$234 	4	4	$37.90 	
Home	Canada	9109	6/4/2023 0:00	ORDER00067	PayPal	129	Yes	2	Standard	27.00%	$117.70 	$146 	8	3	$10.50 	
Clothing	UK	5530	12/19/2023 0:00	ORDER00068	Credit Card	129	No	3	Next Day	35.00%	$490.80 	$218 	3	4	$29.20 	
Home	France	3401	3/13/2023 0:00	ORDER00069	Bank Transfer	933	Yes	3	Express	34.00%	$533.90 	$206 	5	5	$39.90 	
Electronics	UK	2140	5/12/2023 0:00	ORDER00070	PayPal	54	No	2	Express	34.00%	$451.00 	$223 	3	1	$41.50 	
Electronics	France	4708	10/22/2023 0:00	ORDER00071	Cash	902	Yes	2	Standard	12.00%	$979.20 	$221 	1	4	$15.70 	
Electronics	France	2028	4/14/2023 0:00	ORDER00072	Credit Card	551	No	1	Express	27.00%	$295.10 	$398 	8	1	$43.10 	
Clothing	UK	4275	8/21/2023 0:00	ORDER00073	Credit Card	489	Yes	2	Next Day	14.00%	$261.60 	$160 	3	3	$46.30 	
Home	Germany	3981	3/5/2023 0:00	ORDER00074	Credit Card	757	Yes	3	Next Day	8.00%	$452.90 	$485 	6	1	$22.20 	
Books	Germany	5686	6/3/2023 0:00	ORDER00075	Cash	274	No	4	Next Day	38.00%	$524.60 	$444 	9	5	$24.80 	
Electronics	USA	4942	9/5/2023 0:00	ORDER00076	PayPal	336	Yes	1	Express	16.00%	$326.90 	$301 	4	2	$45.20 	
Home	Canada	5778	10/4/2023 0:00	ORDER00077	PayPal	389	Yes	1	Express	39.00%	$989.60 	$439 	5	3	$43.90 	
Sports	USA	7961	12/24/2023 0:00	ORDER00078	Credit Card	618	No	4	Next Day	14.00%	$124.40 	$99 	8	0	$18.70 	
Clothing	France	6660	7/23/2023 0:00	ORDER00079	Credit Card	43	Yes	4	Standard	32.00%	$981.60 	$717 	9	4	$31.30 	
Sports	USA	5971	3/14/2023 0:00	ORDER00080	Credit Card	443	Yes	4	Express	33.00%	$917.50 	"$1,339 "	10	2	$47.20 	
Sports	Canada	2926	12/9/2023 0:00	ORDER00081	Credit Card	544	Yes	2	Express	25.00%	$933.70 	$371 	5	5	$43.50 	
Home	Germany	6756	5/12/2023 0:00	ORDER00082	Credit Card	889	Yes	3	Standard	38.00%	$389.40 	$61 	2	0	$48.70 	
Home	Canada	2486	8/6/2023 0:00	ORDER00083	Credit Card	258	Yes	1	Standard	29.00%	$610.70 	$210 	4	0	$41.50 	
Home	Canada	2776	4/18/2023 0:00	ORDER00084	Bank Transfer	322	No	1	Next Day	17.00%	$585.80 	$91 	1	5	$15.80 	
Electronics	UK	8397	8/14/2023 0:00	ORDER00085	PayPal	1000	No	3	Next Day	10.00%	$607.30 	$438 	6	0	$6.70 	
Books	Germany	3488	11/12/2023 0:00	ORDER00086	Bank Transfer	938	No	5	Standard	25.00%	$69.20 	$87 	6	3	$22.30 	
Books	USA	3733	3/4/2023 0:00	ORDER00087	Credit Card	58	Yes	3	Next Day	23.00%	$815.40 	$691 	9	2	$40.70 	
Electronics	USA	9962	11/18/2023 0:00	ORDER00088	Credit Card	292	Yes	3	Standard	24.00%	$373.50 	$146 	5	0	$3.30 	
Electronics	France	7136	12/15/2023 0:00	ORDER00089	PayPal	871	Yes	3	Express	18.00%	$916.90 	"$1,507 "	8	3	$42.40 	
Books	Germany	1539	9/2/2023 0:00	ORDER00090	PayPal	120	Yes	3	Express	31.00%	$193.30 	$58 	2	4	$47.30 	
Home	USA	5975	12/2/2023 0:00	ORDER00091	Credit Card	780	Yes	4	Express	21.00%	$582.30 	$241 	2	5	$20.40 	
Home	Canada	7021	9/21/2023 0:00	ORDER00092	Bank Transfer	431	Yes	1	Express	36.00%	$602.60 	$267 	3	2	$35.10 	
Books	USA	3328	11/17/2023 0:00	ORDER00093	Credit Card	83	Yes	3	Next Day	15.00%	$37.20 	$26 	4	4	$38.70 	
Sports	Germany	3605	2/14/2023 0:00	ORDER00094	Bank Transfer	92	No	4	Standard	20.00%	$198.90 	$201 	6	3	$45.00 	
Electronics	Canada	8370	11/9/2023 0:00	ORDER00095	Cash	897	Yes	5	Express	21.00%	$487.10 	$695 	8	3	$33.00 	
Sports	France	1493	7/7/2023 0:00	ORDER00096	PayPal	399	No	4	Next Day	12.00%	$600.70 	$392 	7	5	$46.70 	
Books	Canada	2028	9/7/2023 0:00	ORDER00097	Bank Transfer	612	No	2	Standard	35.00%	$96.90 	$36 	5	5	$24.50 	
Books	UK	4830	8/4/2023 0:00	ORDER00098	Credit Card	566	Yes	5	Next Day	9.00%	$316.30 	$275 	6	1	$36.90 	
Sports	France	5196	12/13/2023 0:00	ORDER00099	Bank Transfer	909	Yes	2	Standard	38.00%	$546.10 	$461 	8	5	$2.60 	
Electronics	Germany	9285	3/19/2023 0:00	ORDER00100	Cash	634	No	5	Standard	9.00%	$682.00 	$811 	5	5	$5.30 	
Sports	USA	2702	8/24/2023 0:00	ORDER00101	Cash	939	No	5	Express	13.00%	$837.80 	"$1,476 "	7	1	$3.10 	
Home	Canada	4626	5/5/2023 0:00	ORDER00102	Bank Transfer	85	Yes	5	Standard	22.00%	$762.70 	$323 	5	4	$29.40 	
Sports	USA	9995	9/11/2023 0:00	ORDER00103	Bank Transfer	204	Yes	4	Express	13.00%	$784.30 	$867 	5	0	$32.20 	
Clothing	UK	9725	4/28/2023 0:00	ORDER00104	Credit Card	325	Yes	5	Standard	25.00%	$287.70 	$505 	9	3	$17.50 	
Sports	USA	4654	1/5/2023 0:00	ORDER00105	Bank Transfer	775	No	5	Express	13.00%	$329.50 	$327 	8	2	$11.20 	
Sports	Germany	9671	1/20/2023 0:00	ORDER00106	Credit Card	965	No	1	Standard	36.00%	$632.40 	$482 	4	4	$15.90 	
Home	UK	4455	6/1/2023 0:00	ORDER00107	Cash	48	No	2	Next Day	12.00%	$181.80 	$143 	7	2	$46.00 	
Home	UK	9010	5/1/2023 0:00	ORDER00108	Cash	640	No	1	Standard	21.00%	$909.80 	"$1,729 "	9	0	$17.00 	
Home	France	8883	3/25/2023 0:00	ORDER00109	Cash	132	No	1	Standard	37.00%	$727.50 	$618 	9	4	$8.30 	
Electronics	UK	1054	8/21/2023 0:00	ORDER00110	Credit Card	973	Yes	5	Standard	36.00%	$67.30 	$72 	8	0	$28.10 	
Books	France	4509	8/8/2023 0:00	ORDER00111	Bank Transfer	869	Yes	2	Standard	26.00%	$753.40 	$696 	7	1	$11.90 	
Electronics	UK	3274	11/10/2023 0:00	ORDER00112	Bank Transfer	181	No	2	Standard	10.00%	$527.60 	$193 	2	5	$10.20 	
Electronics	USA	5689	6/6/2023 0:00	ORDER00113	Bank Transfer	847	Yes	5	Express	20.00%	$939.70 	"$1,110 "	5	2	$6.80 	
Books	USA	6700	12/27/2023 0:00	ORDER00114	PayPal	144	Yes	2	Express	19.00%	$509.40 	$417 	5	0	$26.00 	
Books	UK	5871	6/2/2023 0:00	ORDER00115	Credit Card	661	No	2	Standard	19.00%	$580.30 	$291 	3	2	$28.90 	
Clothing	UK	3037	7/5/2023 0:00	ORDER00116	Cash	228	Yes	1	Next Day	21.00%	$840.90 	$728 	5	0	$49.20 	
Home	Germany	9363	4/6/2023 0:00	ORDER00117	PayPal	955	Yes	5	Standard	5.00%	$920.40 	$458 	2	4	$49.00 	
Sports	France	5381	12/10/2023 0:00	ORDER00118	Cash	792	Yes	1	Standard	30.00%	$892.50 	"$1,631 "	9	2	$48.50 	
Sports	UK	4534	7/1/2023 0:00	ORDER00119	PayPal	720	No	5	Express	15.00%	$568.80 	$116 	1	0	$43.30 	
Clothing	UK	5849	5/4/2023 0:00	ORDER00120	Credit Card	910	Yes	4	Express	24.00%	$630.40 	$280 	2	1	$6.00 	
Books	Canada	3931	6/11/2023 0:00	ORDER00121	Credit Card	374	Yes	2	Next Day	11.00%	$11.30 	$5 	3	4	$39.20 	
Clothing	Germany	6324	11/17/2023 0:00	ORDER00122	Bank Transfer	854	No	1	Express	32.00%	$576.20 	$391 	7	0	$39.60 	
Home	Germany	7618	6/20/2023 0:00	ORDER00123	Credit Card	561	Yes	5	Express	29.00%	$193.50 	$231 	6	0	$10.40 	
Electronics	France	1880	9/12/2023 0:00	ORDER00124	Credit Card	306	Yes	4	Standard	7.00%	$585.60 	$669 	5	4	$4.60 	
Sports	USA	2742	3/24/2023 0:00	ORDER00125	PayPal	582	Yes	5	Next Day	15.00%	$989.10 	"$1,619 "	8	0	$14.90 	
Sports	UK	3026	12/27/2023 0:00	ORDER00126	Credit Card	170	No	4	Express	34.00%	$352.40 	$393 	7	4	$11.60 	
Sports	Germany	8788	7/24/2023 0:00	ORDER00127	Cash	676	No	2	Express	23.00%	$730.40 	"$1,114 "	10	5	$6.90 	
Clothing	Germany	2790	7/11/2023 0:00	ORDER00128	Bank Transfer	449	No	4	Next Day	11.00%	$486.50 	$348 	6	3	$5.30 	
Sports	France	4847	8/23/2023 0:00	ORDER00129	Cash	96	Yes	5	Next Day	32.00%	$688.70 	"$1,038 "	8	1	$47.70 	
Electronics	USA	6779	10/24/2023 0:00	ORDER00130	Credit Card	198	No	2	Standard	24.00%	$839.90 	$338 	2	5	$4.60 	
Clothing	UK	4330	6/26/2023 0:00	ORDER00131	Bank Transfer	607	No	2	Standard	18.00%	$718.50 	$224 	2	0	$10.10 	
Home	Canada	2696	10/12/2023 0:00	ORDER00132	Cash	257	No	4	Next Day	26.00%	$289.20 	$341 	6	1	$12.00 	
Books	Canada	8779	7/4/2023 0:00	ORDER00133	PayPal	882	Yes	3	Next Day	20.00%	$855.30 	$202 	1	4	$46.90 	
Sports	Canada	9243	7/9/2023 0:00	ORDER00134	Credit Card	691	Yes	2	Express	9.00%	$978.90 	$675 	6	1	$32.70 	
Sports	Canada	3621	12/28/2023 0:00	ORDER00135	Cash	293	No	5	Express	10.00%	$912.00 	$400 	2	4	$32.50 	
Clothing	France	1694	12/7/2023 0:00	ORDER00136	Bank Transfer	931	Yes	1	Express	27.00%	$600.80 	$732 	6	0	$29.60 	
Electronics	UK	5873	8/24/2023 0:00	ORDER00137	Bank Transfer	817	Yes	5	Express	10.00%	$884.60 	"$1,908 "	9	1	$19.40 	
Books	France	7470	3/28/2023 0:00	ORDER00138	Cash	862	No	3	Express	32.00%	$166.20 	$142 	5	0	$35.50 	
Books	France	2045	3/7/2023 0:00	ORDER00139	Bank Transfer	388	No	1	Express	5.00%	$204.50 	$113 	5	0	$17.30 	
Sports	Canada	3481	11/4/2023 0:00	ORDER00140	Cash	611	No	3	Express	10.00%	$264.70 	$271 	6	5	$14.50 	
Home	France	2325	3/10/2023 0:00	ORDER00141	Bank Transfer	555	No	3	Standard	22.00%	$774.00 	$425 	6	0	$18.40 	
Electronics	UK	4541	7/2/2023 0:00	ORDER00142	Credit Card	974	Yes	4	Express	20.00%	$248.60 	$326 	8	5	$9.60 	
Electronics	Canada	3159	2/4/2023 0:00	ORDER00143	Cash	369	Yes	5	Next Day	27.00%	$723.10 	$54 	1	1	$32.30 	
Home	UK	7034	8/9/2023 0:00	ORDER00144	Bank Transfer	1000	No	1	Next Day	14.00%	$838.50 	$642 	4	0	$3.70 	
Electronics	UK	5540	1/10/2023 0:00	ORDER00145	PayPal	918	No	5	Standard	10.00%	$209.80 	$21 	1	0	$19.40 	
Sports	Canada	5356	10/28/2023 0:00	ORDER00146	Bank Transfer	202	Yes	3	Express	18.00%	$553.80 	$253 	4	5	$29.20 	
Clothing	Canada	7108	10/9/2023 0:00	ORDER00147	PayPal	384	No	3	Next Day	5.00%	$839.60 	$849 	10	5	$26.40 	
Clothing	France	8379	3/21/2023 0:00	ORDER00148	Bank Transfer	513	No	1	Standard	23.00%	$84.70 	$133 	10	4	$49.50 	
Electronics	France	1731	11/27/2023 0:00	ORDER00149	Credit Card	907	Yes	1	Express	28.00%	$597.70 	$296 	6	5	$27.20 	
Electronics	Canada	9973	12/25/2023 0:00	ORDER00150	Credit Card	371	Yes	4	Express	35.00%	$202.30 	$166 	5	4	$35.50 	
Home	France	5541	4/8/2023 0:00	ORDER00151	Bank Transfer	556	No	2	Standard	27.00%	$889.20 	$587 	7	5	$14.60 	
Home	Germany	7006	3/16/2023 0:00	ORDER00152	Credit Card	955	No	4	Standard	22.00%	$879.60 	$158 	1	1	$26.30 	
Books	Canada	3738	7/27/2023 0:00	ORDER00153	PayPal	384	Yes	4	Next Day	23.00%	$609.70 	$943 	10	0	$19.20 	
Books	Germany	4788	7/18/2023 0:00	ORDER00154	Credit Card	24	No	1	Express	36.00%	$368.80 	$58 	1	5	$21.20 	
Sports	Canada	1933	12/23/2023 0:00	ORDER00155	Credit Card	700	Yes	5	Express	32.00%	$780.90 	$117 	1	3	$48.40 	
Electronics	France	8813	10/8/2023 0:00	ORDER00156	Bank Transfer	131	Yes	3	Standard	35.00%	$287.20 	$43 	1	1	$8.40 	
Books	UK	5916	2/28/2023 0:00	ORDER00157	PayPal	378	Yes	1	Next Day	17.00%	$819.10 	$750 	10	2	$7.10 	
Electronics	Canada	6692	9/23/2023 0:00	ORDER00158	PayPal	99	No	2	Standard	21.00%	$208.40 	$113 	4	5	$13.90 	
Sports	USA	8966	12/8/2023 0:00	ORDER00159	Bank Transfer	575	No	2	Standard	33.00%	$136.60 	$167 	7	5	$12.30 	
Books	Germany	6255	1/15/2023 0:00	ORDER00160	Bank Transfer	932	Yes	3	Next Day	40.00%	$691.20 	"$1,090 "	9	5	$49.40 	
Home	UK	8380	9/15/2023 0:00	ORDER00161	Cash	735	No	3	Next Day	16.00%	$719.40 	$696 	8	4	$23.50 	
Home	USA	5947	3/7/2023 0:00	ORDER00162	PayPal	124	Yes	5	Standard	6.00%	$304.00 	$644 	9	2	$11.10 	
Sports	USA	3586	10/19/2023 0:00	ORDER00163	Credit Card	964	Yes	3	Standard	19.00%	$244.70 	$34 	1	0	$38.70 	
Books	France	4729	2/20/2023 0:00	ORDER00164	PayPal	595	No	5	Express	15.00%	$928.10 	$170 	2	0	$44.70 	
Home	Germany	8551	9/26/2023 0:00	ORDER00165	Cash	943	Yes	3	Standard	26.00%	$63.90 	$10 	1	3	$23.80 	
Home	France	4776	7/22/2023 0:00	ORDER00166	PayPal	740	Yes	2	Standard	35.00%	$595.70 	$925 	9	5	$49.40 	
Sports	UK	6686	12/17/2023 0:00	ORDER00167	Bank Transfer	149	Yes	2	Standard	34.00%	$805.00 	"$1,074 "	9	2	$21.50 	
Books	Germany	5074	8/16/2023 0:00	ORDER00168	Credit Card	210	No	1	Next Day	10.00%	$957.70 	"$1,328 "	7	5	$17.40 	
Books	France	6176	12/6/2023 0:00	ORDER00169	PayPal	563	Yes	1	Standard	35.00%	$744.90 	$432 	5	0	$9.20 	
Clothing	Canada	9921	5/13/2023 0:00	ORDER00170	Bank Transfer	412	No	1	Standard	21.00%	$811.50 	$876 	7	0	$22.30 	
Home	Germany	5833	5/10/2023 0:00	ORDER00171	PayPal	783	No	1	Next Day	15.00%	$927.60 	$820 	10	4	$17.20 	
Books	USA	9604	4/20/2023 0:00	ORDER00172	PayPal	42	Yes	3	Next Day	38.00%	$449.70 	$185 	4	5	$3.10 	
Home	UK	5474	7/17/2023 0:00	ORDER00173	Cash	59	Yes	5	Standard	20.00%	$76.00 	$103 	7	5	$16.60 	
Electronics	USA	3961	4/15/2023 0:00	ORDER00174	PayPal	706	No	2	Standard	33.00%	$254.00 	$482 	10	4	$41.10 	
Sports	Germany	6255	9/5/2023 0:00	ORDER00175	Cash	37	Yes	1	Express	11.00%	$995.50 	"$1,552 "	7	1	$37.60 	
Sports	UK	8339	3/27/2023 0:00	ORDER00176	Cash	779	No	2	Next Day	26.00%	$195.90 	$82 	3	5	$5.20 	
Sports	Canada	8360	4/5/2023 0:00	ORDER00177	Cash	87	Yes	3	Express	29.00%	$251.10 	$299 	8	4	$30.80 	
Books	USA	2329	7/17/2023 0:00	ORDER00178	Cash	44	Yes	2	Standard	19.00%	$409.60 	$270 	5	4	$23.70 	
Books	Germany	3504	10/22/2023 0:00	ORDER00179	PayPal	873	Yes	4	Next Day	32.00%	$874.90 	$845 	6	4	$29.60 	
Sports	UK	4540	9/27/2023 0:00	ORDER00180	Cash	12	Yes	2	Express	31.00%	$796.30 	$79 	1	5	$10.00 	
Sports	Canada	5609	2/4/2023 0:00	ORDER00181	PayPal	771	Yes	4	Next Day	24.00%	$595.60 	"$1,093 "	10	5	$45.50 	
Home	UK	7652	3/12/2023 0:00	ORDER00182	Credit Card	308	No	4	Next Day	7.00%	$505.90 	$351 	4	5	$44.70 	
Clothing	USA	5267	4/23/2023 0:00	ORDER00183	Bank Transfer	81	No	1	Standard	27.00%	$691.10 	$576 	7	2	$37.90 	
Books	Canada	2807	7/2/2023 0:00	ORDER00184	Credit Card	33	No	1	Next Day	14.00%	$179.10 	$222 	10	2	$50.00 	
Books	Germany	5888	12/18/2023 0:00	ORDER00185	Credit Card	183	Yes	2	Express	12.00%	$591.20 	$776 	7	4	$7.20 	
Books	UK	6064	2/9/2023 0:00	ORDER00186	Bank Transfer	129	No	4	Next Day	32.00%	$505.50 	$220 	4	2	$20.70 	
Sports	Canada	9281	9/23/2023 0:00	ORDER00187	PayPal	807	Yes	2	Next Day	24.00%	$581.50 	$70 	1	3	$21.10 	
Electronics	USA	7898	8/10/2023 0:00	ORDER00188	Credit Card	276	Yes	5	Next Day	39.00%	$807.60 	$236 	2	5	$33.80 	
Books	Germany	8139	10/12/2023 0:00	ORDER00189	PayPal	175	Yes	3	Standard	12.00%	$654.20 	$265 	2	5	$22.70 	
Books	UK	7830	10/1/2023 0:00	ORDER00190	Bank Transfer	555	Yes	2	Next Day	20.00%	$916.50 	"$1,032 "	5	0	$45.50 	
Books	Germany	5673	5/7/2023 0:00	ORDER00191	PayPal	372	No	4	Express	38.00%	$605.70 	$529 	5	5	$32.40 	
Sports	USA	2224	3/1/2023 0:00	ORDER00192	PayPal	185	Yes	1	Standard	11.00%	$268.50 	$60 	1	5	$12.20 	
Sports	Canada	4736	4/19/2023 0:00	ORDER00193	PayPal	445	No	4	Next Day	11.00%	$401.50 	$113 	3	0	$31.20 	
